Date,Value
02/03/2012,12977.57
01/03/2012,12980.3
29/02/2012,12952.07
28/02/2012,13005.12
27/02/2012,12981.51
24/02/2012,12982.95
23/02/2012,12984.69
22/02/2012,12938.67
21/02/2012,12965.69
17/02/2012,12949.87
16/02/2012,12904.08
15/02/2012,12780.95
14/02/2012,12878.28
13/02/2012,12874.04
10/02/2012,12801.23
09/02/2012,12890.46
08/02/2012,12883.95
07/02/2012,12878.2
06/02/2012,12845.13
03/02/2012,12862.23
02/02/2012,12705.41
01/02/2012,12716.46
31/01/2012,12632.91
30/01/2012,12653.72
27/01/2012,12660.46
26/01/2012,12734.63
25/01/2012,12756.96
24/01/2012,12675.75
23/01/2012,12708.82
20/01/2012,12720.48
19/01/2012,12623.98
18/01/2012,12578.95
17/01/2012,12482.07
13/01/2012,12422.06
12/01/2012,12471.02
11/01/2012,12449.45
10/01/2012,12462.47
09/01/2012,12392.69
06/01/2012,12359.92
05/01/2012,12415.7
04/01/2012,12418.42
03/01/2012,12397.38
30/12/2011,12217.56
29/12/2011,12287.04
28/12/2011,12151.41
27/12/2011,12291.35
23/12/2011,12294
22/12/2011,12169.65
21/12/2011,12107.74
20/12/2011,12103.58
19/12/2011,11766.26
16/12/2011,11866.39
15/12/2011,11868.81
14/12/2011,11823.48
13/12/2011,11954.94
12/12/2011,12021.39
09/12/2011,12184.26
08/12/2011,11997.7
07/12/2011,12196.37
06/12/2011,12150.13
05/12/2011,12097.83
02/12/2011,12019.42
01/12/2011,12020.03
30/11/2011,12045.68
29/11/2011,11555.63
28/11/2011,11523.01
25/11/2011,11231.78
23/11/2011,11257.55
22/11/2011,11493.72
21/11/2011,11547.31
18/11/2011,11796.16
17/11/2011,11770.73
16/11/2011,11905.59
15/11/2011,12096.16
14/11/2011,12078.98
11/11/2011,12153.68
10/11/2011,11893.79
09/11/2011,11780.94
08/11/2011,12170.18
07/11/2011,12068.39
04/11/2011,11983.24
03/11/2011,12044.47
02/11/2011,11836.04
01/11/2011,11657.96
31/10/2011,11955.01
28/10/2011,12231.11
27/10/2011,12208.55
26/10/2011,11869.04
25/10/2011,11706.62
24/10/2011,11913.62
21/10/2011,11808.79
20/10/2011,11541.78
19/10/2011,11504.62
18/10/2011,11577.05
17/10/2011,11397
14/10/2011,11644.49
13/10/2011,11478.13
12/10/2011,11518.85
11/10/2011,11416.3
10/10/2011,11433.18
07/10/2011,11103.12
06/10/2011,11123.33
05/10/2011,10939.95
04/10/2011,10808.71
03/10/2011,10655.3
30/09/2011,10913.38
29/09/2011,11153.98
28/09/2011,11010.9
27/09/2011,11190.69
26/09/2011,11043.86
23/09/2011,10771.48
22/09/2011,10733.83
21/09/2011,11124.84
20/09/2011,11408.66
19/09/2011,11401.01
16/09/2011,11509.09
15/09/2011,11433.18
14/09/2011,11246.73
13/09/2011,11105.85
12/09/2011,11061.12
09/09/2011,10992.13
08/09/2011,11295.81
07/09/2011,11414.86
06/09/2011,11139.3
02/09/2011,11240.26
01/09/2011,11493.57
31/08/2011,11613.53
30/08/2011,11559.95
29/08/2011,11539.25
26/08/2011,11284.54
